Input,Generated Gloss
the imbecility of our government even forbids them to treat with us,IMBECILITY X-WE GOVERNMENT DESC-EVEN FORBID X-Y TO TREAT WITH X-WE
our ambassadors abroad are the mere pageants of mimic sovereignty,X-WE AMBASSADOR DESC-ABROAD BE DESC-MERE PAGEANT MIX SOVEREIGNTY
is a violent and unnatural decrease in the value of land a symptom of national distress,BE DESC-VIOLENT AND DESC-UNNATURAL DECREASE IN VALUE LAND SYMPTOM DESC-NATIONAL DISTREAK
is private credit the friend and patron of industry,BE DESC-PRIVATE CREDIT FRIEND AND PANORAMIC INDUSTRY
that most useful kind which relates to borrowing and lending is reduced within the narrowest limits and this still more from an opinion of insecurity than from the scarcity of money,THAT MOST DESC-USEFUL KIND WHICH RELATE TO LOAN AND LEND BE REDUCE WITHIN DESC-NEIGHBEST LIMIT AND THIS DESC-STILL MORE FROM OPINION INSECURITY THAN FROM SCARCITY MONEY
here my countrymen impelled by every motive that ought to influence an enlightened people let us make a firm stand for our safety our tranquillity our dignity our reputation,DESC-HERE X-MY COUNTRYMAN IMPLEMENT BY EVERY MOTIVATED THAT OUGHT TO INFLUENCE DESC-ENLIGHTENED PEOPLE LET X-WE MAKE FIRM STAND FOR X-WE SAFETY X-WE TRANQUILITY X-WE DIGNITY X-WE REPUTATION
let us at last break the fatal charm which has too long seduced us from the paths of felicity and prosperity,LET X-WE AT DESC-LAST BREAK DESC-FEATURE CHARM WHICH HAVE DESC-TOO DESC-LONG SEDUCE X-WE FROM PATH FECILY AND PROSPERITY
while they admit that the government of the united states is destitute of energy they contend against conferring upon it those powers which are requisite to supply that energy,WHILE X-Y ADMIT THAT GOVERNMENT UNITE STATE BE DESC-DESTITUDE ENERGY X-Y CONTEND AGAINST CONFER UPON X-IT THOSE POWER WHICH BE PREREQUISITE TO SUPPLY THAT ENERGY
they seem still to aim at things repugnant and irreconcilable at an augmentation of federal authority without a diminution of state authority at sovereignty in the union and complete independence in the members,X-Y SEEM DESC-STILL TO AIM AT THING DESC-REPUGNANT AND DESC-IRRECONCILIABLE AT INCREASE DESC-FEDERAL AUTHORITY WITHOUT DESTROYMENT STATE AUTHORITY AT SOVEREIGNTY IN UNION AND DESC-COMPLETE INDEPENDENCE IN MEMBER
they still in fine seem to cherish with blind devotion the political monster of an imperium in imperio,X-Y DESC-STILL IN FINE SEEM TO CHRIST WITH DESC-BLIND DEVOTION DESC-POLITICAL MORMON IMPERIO IN IMPERIO
the great and radical vice in the construction of the existing confederation is in the principle of legislation for states or governments in their corporate or collective capacities and as contradistinguished from the individuals of which they consist,DESC-GREAT AND DESC-RADICAL VICTIM IN CONSTRUCTION EXIST CONFEDERATION BE IN PRINCIPLE LEGISLATION FOR STATE OR GOVERNMENT IN X-Y DESC-CORPORATE OR DESC-COLLECTIVE CAPACITY AND AS CONTRADISTINGUISH FROM INDIVIDUAL WHICH X-Y CONSIST
though this principle does not run through all the powers delegated to the union yet it pervades and governs those on which the efficacy of the rest depends,THOUGH THIS PRINCIPLE DO DESC-NOT RUN THROUGH ALL POWER DELEGATE TO UNION DESC-YET X-IT PERVADE AND GOVERN THOSE ON WHICH EFFICIENCY REST DEPEND DEPEND
except as to the rule of appointment the united states has an indefinite discretion to make requisitions for men and money but they have no authority to raise either by regulations extending to the individual citizens of america,EXCEPT AS TO RULE APPOINTMENT UNITE STATE HAVE DESC-INDEFINITE DISCRETION TO MAKE REQUISITION FOR MAN AND MONEY BUT X-Y HAVE NO AUTHORITY TO RAISE EIR BY REGULATION EXTEND TO INDIVIDUAL CITIZEN AMERICA
the consequence of this is that though in theory their resolutions concerning those objects are laws constitutionally binding on the members of the union yet in practice they are mere recommendations which the states observe or disregard at their option,CONSEQUENCE THIS BE THAT THOUGH IN THEORY X-Y RESOLUTION CONCERN THOSE OBJECT BE LAW DESC-CONSTITUTIONALLY DESC-BINDING ON MEMBER UNION DESC-YET IN PRACTICE X-Y BE DESC-MERE RECOMMENDATION WHICH STATE OBSERVE OR DISREGARD AT X-Y OPTION
compacts of this kind exist among all civilized nations subject to the usual vicissitudes of peace and war of observance and nonobservance as the interests or passions of the contracting powers dictate,COMPACT THIS KIND EXIST AMONG ALL DESC-CIVILISED NATION SUBJECT TO DESC-USUAL VICISSITUDE PEACE AND WAR OBSERVANCE AND NONOBSERVANCE AS INTEREST OR PATHE ACCORD POWER DISCOVER
in the early part of the present century there was an epidemical rage in europe for this species of compacts from which the politicians of the times fondly hoped for benefits which were never realized,IN DESC-EARLY PART DESC-PRESENT CENTURY DESC-RE BE DESC-EPIDICAL RAISE IN EUROPE FOR THIS SPECIES COMPACT FROM WHICH POLITICIAN TIME DESC-FONDLY HOPE FOR BENEFIT WHICH BE DESC-NEVER REALIZE
government implies the power of making laws,GOVERNMENT IMPLY POWER MAKE LAW
it is essential to the idea of a law that it be attended with a sanction or in other words a penalty or punishment for disobedience,X-IT BE DESC-ESSENTIAL TO IDEA LAW THAT X-IT BE ATTEND WITH SANCTION OR IN DESC-OR WORD PENALTY OR PUNISHMENT FOR DISOBEDIENCE
if there be no penalty annexed to disobedience the resolutions or commands which pretend to be laws will in fact amount to nothing more than advice or recommendation,IF DESC-RE BE NO PENALTY ANNEX TO DISOBEDIENCE RESOLUTION OR COMMAND WHICH PRETEND TO BE LAW WILL IN FACT AMOUNT TO NOTHING MORE THAN ADVICE OR RECOMMENDATION
this penalty whatever it may be can only be inflicted in two ways by the agency of the courts and ministers of justice or by military force by the coercion of the magistracy or by the coercion of arms,THIS PENALTY WHATEVER X-IT MAY BE CAN DESC-ONLY BE INSLICT IN TWO WAY BY AGENCY COURT AND MINISTER JUSTICE OR BY DESC-MILITARY FORCE BY COERCION MAGISTRACY OR BY COERCION ARM
the first kind can evidently apply only to men the last kind must of necessity be employed against bodies politic or communities or states,DESC-FIRST KIND CAN DESC-EVIDENTLY APPLY DESC-ONLY TO MAN DESC-LAST KIND MUST NECESSITY BE EMPLOY AGAINST BODY DESC-POLITICAL OR COMMUNITY OR STATE
it is evident that there is no process of a court by which the observance of the laws can in the last resort be enforced,X-IT BE DESC-EVIDENT THAT DESC-RE BE NO PROCESS COURT BY WHICH OBSERVANCE LAW CAN IN DESC-LAST RESERVE BE ENFORCE
sentences may be denounced against them for violations of their duty but these sentences can only be carried into execution by the sword,SENTENCE MAY BE DENOUNCE AGAINST X-Y FOR VIOLATION X-Y DUTY BUT SE SENTENCE CAN DESC-ONLY BE CARRY INTO EXECUTION BY SPIDER
in an association where the general authority is confined to the collective bodies of the communities that compose it every breach of the laws must involve a state of war and military execution must become the only instrument of civil obedience,IN ASSOCIATION WHERE DESC-GENERAL AUTHORITY BE CONFINE TO DESC-COLLECTIVE BODY COMMUNITY THAT COMPARE X-IT EVERY BREACH LAW MUST INVOLVE STATE WAR AND DESC-MILITARY EXECUTION MUST BECOME DESC-ONLY INSTRUMENT DESC-CIVIL OBEYANCE
such a state of things can certainly not deserve the name of government nor would any prudent man choose to commit his happiness to it,DESC-SUCH STATE THING CAN DESC-CERTAINLY DESC-NOT DESERVE NAME GOVERNMENT NOR WOULD ANY DESC-PRUDENT MAN CHOOSE TO COMMIT X-HE HAPPINESS TO X-IT
this language at the present day would appear as wild as a great part of what we now hear from the same quarter will be thought when we shall have received further lessons from that best oracle of wisdom experience,THIS LANGUAGE AT DESC-PRESENT DAY WOULD APPEAR AS DESC-WILD AS DESC-GREAT PART WHAT X-WE DESC-NOW HEAR FROM DESC-SAME QUARTER WILL BE THINK WHEN X-WE SHALL HAVE RECEIVE DESC-FURR LESSON FROM THAT DESC-BEST ORACCLE WISDOM EXPERIENCE
it at all times betrayed an ignorance of the true springs by which human conduct is actuated and belied the original inducements to the establishment of civil power,X-IT AT ALL TIME BETRAY INVESTIGATION DESC-TRUE SPRING BY WHICH DESC-HUMAN CONDUCT BE ACTIVATE AND BELY DESC-ORIGINAL INDUSTREMENT TO ESTABLISHMENT DESC-CIVIL POWER
why has government been instituted at all,WHY HAVE GOVERNMENT BE INSTITUTE AT ALL
because the passions of men will not conform to the dictates of reason and justice without constraint,BECAUSE PATHEMAN WILL DESC-NOT CONFORM TO DICATE REASON AND JUSTICE WITHOUT CONSTRAINT
has it been found that bodies of men act with more rectitude or greater disinterestedness than individuals,HAVE X-IT BE FIND THAT BODY MAN ACT WITH MORE RECTITUDE OR DESC-GREATER DISINTERESTEDNESS THAN INDIVIDUAL
the contrary of this has been inferred by all accurate observers of the conduct of mankind and the inference is founded upon obvious reasons,CONTRARY THIS HAVE BE INDEPEND BY ALL DESC-ACCURATE OBSERVER CONDUCT MAN AND INFERENCE BE FIND UPON DESC-OBVIOUS REASON
regard to reputation has a less active influence when the infamy of a bad action is to be divided among a number than when it is to fall singly upon one,REGARD TO REPUTATION HAVE DESC-LESS DESC-ACTIVE INFLUENCE WHEN INFAMY DESC-BAD ACTION BE TO BE DISPUTE AMONG NUMBER THAN WHEN X-IT BE TO FALL DESC-SINGLELY UPON ONE
a spirit of faction which is apt to mingle its poison in the deliberations of all bodies of men will often hurry the persons of whom they are composed into improprieties and excesses for which they would blush in a private capacity,SPIRIT FACTORY WHICH BE DESC-APPROPRIATE TO MINGE X-ITS POISON IN DELIBERATION ALL BODY MAN WILL DESC-OFTEN MURDER PERSON WHOM X-Y BE COMPOSITE INTO IMPROPRIETIES AND EXCESSION FOR WHICH X-Y WOULD RASH IN DESC-PRIVATE CAPACITY
in addition to all this there is in the nature of sovereign power an impatience of control that disposes those who are invested with the exercise of it to look with an evil eye upon all external attempts to restrain or direct its operations,IN ADDITION TO ALL THIS DESC-RE BE IN NATURE DESC-SOVEREIGN POWER IMPATIENCE CONTROL THAT DISPOSE THOSE WHO BE INVEST WITH EXERCISE X-IT TO LOOK WITH DESC-EVIL EYE UPON ALL DESC-EXTERNAL ATTEMPT TO RESTRAINT OR DESC-DIRECT X-ITS OPERATION
this tendency is not difficult to be accounted for,THIS TENDANCE BE DESC-NOT DESC-DIFFICULT TO BE ACCOUNT FOR
it has its origin in the love of power,X-IT HAVE X-ITS ORIGIN IN LOVE POWER
power controlled or abridged is almost always the rival and enemy of that power by which it is controlled or abridged,POWER CONTROL OR ABROAD BE DESC-ALMOST DESC-ALWAYS VALIDATE AND ENEMY THAT POWER BY WHICH X-IT BE CONTROL OR ABROAD
the reverse of this results from the constitution of human nature,DESC-REVERSE THIS RESULT FROM CONSTITUTION DESC-HUMAN NATURE
if therefore the measures of the confederacy can not be executed without the intervention of the particular administrations there will be little prospect of their being executed at all,IF DESC-REFORE MEASURE CONFÉDÉRACY CAN DESC-NOT BE EXECUTE WITHOUT INTERVENTION DESC-PARTICULAR ADMINISTRATION DESC-RE WILL BE DESC-LITTLE PROSPECT X-Y BE EXECUTE AT ALL
the rulers of the respective members whether they have a constitutional right to do it or not will undertake to judge of the propriety of the measures themselves,RULER DESC-RESPECTIVE MEMBER WHER X-Y HAVE DESC-CONSTITUTIONAL DESC-RIGHT TO DO X-IT OR DESC-NOT WILL UNDERTAKE TO JUDGE PROPRIETY MEASURE X-MSELVES
they will consider the conformity of the thing proposed or required to their immediate interests or aims the momentary conveniences or inconveniences that would attend its adoption,X-Y WILL CONSIDER CONFORMITY THING PROPOSE OR REQUIRE TO X-Y DESC-IMMEDIATE INTEREST OR AIM DESC-MOMENTARY CONVENIENCE OR INCONVENIENCE THAT WOULD ATTEND X-ITS ADOPTION
the same process must be repeated in every member of which the body is constituted and the execution of the plans framed by the councils of the whole will always fluctuate on the discretion of the illinformed and prejudiced opinion of every part,DESC-SAME PROCESS MUST BE REPEAT IN EVERY MEMBER WHICH BODY BE CONSTITUTE AND EXECUTION PLAN FRAME BY COUNCIL WHOLE WILL DESC-ALWAYS FLACTUATE ON DISCRETION DESC-ILLINFORMED AND PREJUDICE OPINION EVERY PART
in our case the concurrence of thirteen distinct sovereign wills is requisite under the confederation to the complete execution of every important measure that proceeds from the union,IN X-WE CASE CONCURRENCE THIRTEEN DESC-DISTINCT DESC-SOVEREIGNTY WILL BE PREREQUISITE UNDER CONFEDERATION TO DESC-COMPLETE EXECUTION EVERY DESC-IMPORTANT MEASURE THAT PROCEED FROM UNION
it has happened as was to have been foreseen,X-IT HAVE HAPPEN AS BE TO HAVE BE FORESEE
the measures of the union have not been executed the delinquencies of the states have step by step matured themselves to an extreme which has at length arrested all the wheels of the national government and brought them to an awful stand,MEASURE UNION HAVE DESC-NOT BE EXECUTE DELINQUENCE STATE HAVE STEP BY STEP DESC-MULTIPLE X-MSELVES TO EXTREME WHICH HAVE AT LENGTH ARREST ALL WHEEL DESC-NATIONAL GOVERNMENT AND BRING X-Y TO DESC-AWESOME STANDARD
congress at this time scarcely possess the means of keeping up the forms of administration till the states can have time to agree upon a more substantial substitute for the present shadow of a federal government,CONGRESS AT THIS TIME DESC-SUCCESSFULLY POSSESS MEANS KEEP DESC-UP FORM ADMINISTRATION TILL STATE CAN HAVE TIME TO AGREE UPON MORE DESC-SUBSTANTIAL SUBSTITUTE FOR DESC-PRESENT SHOWER DESC-FEDERAL GOVERNMENT
things did not come to this desperate extremity at once,THING DO DESC-NOT COME TO THIS DESC-DESERVATE EXTREMITY AT DESC-ONCE
the causes which have been specified produced at first only unequal and disproportionate degrees of compliance with the requisitions of the union,CAUSE WHICH HAVE BE SPECIFY PRODUCE AT DESC-FIRST DESC-ONLY DESC-UNEQUAL AND DESC-DISPROPORTIONATE DEGREE COMPLIANCE WITH REQUISITION UNION
the greater deficiencies of some states furnished the pretext of example and the temptation of interest to the complying or to the least delinquent states,DESC-GREATER DEFICIENCY SOME STATE FURNITURE PRETEXT EXAMPLE AND TEMPTATION INTEREST TO COMPLY OR TO DESC-LEAST DESC-DELINQUENT STATE
why should we do more in proportion than those who are embarked with us in the same political voyage,WHY SHOULD X-WE DO MORE IN PROPORTION THAN THOSE WHO BE ENTRAVE WITH X-WE IN DESC-SAME DESC-POLITICAL VOYAGE
why should we consent to bear more than our proper share of the common burden,WHY SHOULD X-WE CONSENT TO BEAR MORE THAN X-WE DESC-PROPER SHARE DESC-COMMON BURDEN
these were suggestions which human selfishness could not withstand and which even speculative men who looked forward to remote consequences could not without hesitation combat,SE BE SUGGESTION WHICH DESC-HUMAN SELFSHIP COULD DESC-NOT withstand AND WHICH DESC-EVEN DESC-SPECULATIVE MAN WHO LOOK DESC-FORWARD TO DESC-RESTRICTED CONSEQUENCE COULD DESC-NOT WITHOUT HECKING COMBAT
each state yielding to the persuasive voice of immediate interest or convenience has successively withdrawn its support till the frail and tottering edifice seems ready to fall upon our heads and to crush us beneath its ruins,EACH STATE YIELD TO DESC-PERSUMPTIVE VOICE DESC-IMMEDIATE INTEREST OR CONVENIENCE HAVE DESC-SUCCESSIVELY WITHDRAW X-ITS SUPPORT TIL DESC-FRAIL AND DESC-TOTTTERING EDIFICE SEEM DESC-READY TO FALL UPON X-WE HEAD AND TO CRUSH X-WE BEHIND X-ITS RUIN
1 i mean for the union,1 X-I MEAN FOR UNION
the same subject continued the insufficiency of the present confederation to preserve the union from the new york packet,DESC-SAME SUBJECT CONTINUE INSUFFICIENCY DESC-PRESENT CONFEDERATION TO PRESERVE UNION FROM DESC-NEW YORK PACKAGE
tuesday december 4 1787,TUESDAY DECEMBER 4 1787
the confirmations of this fact will be worthy of a distinct and particular examination,CONFIRMATION THIS FACT WILL BE DESC-WORTHY DESC-DIFFERENT AND DESC-PARTICULAR EXAMINE
it remains to inquire how far so odious an engine of government in its application to us would even be capable of answering its end,X-IT REMAIN TO INVESTIGATE HOW DESC-FAR DESC-SO DESC-ODIOUS ENGINE GOVERNMENT IN X-ITS APPLICATION TO X-WE WOULD DESC-EVEN BE DESC-CAPABLE ANSWER X-ITS END
it would rarely happen that the delinquency to be redressed would be confined to a single member and if there were more than one who had neglected their duty similarity of situation would induce them to unite for common defense,X-IT WOULD DESC-RARELY HAPPEN THAT DELINQUENCY TO BE REDRESS WOULD BE CONFINE TO DESC-SINGLE MEMBER AND IF DESC-RE BE MORE THAN ONE WHO HAVE NEGLECT X-Y DUTY SIMULTABILITY SITUATION WOULD INFLUENCE X-Y TO UNITE FOR DESC-COMMON DEFENSE
independent of this motive of sympathy if a large and influential state should happen to be the aggressing member it would commonly have weight enough with its neighbors to win over some of them as associates to its cause,DESC-INDEPENDENT THIS MOTIVATED SYMPATHY IF DESC-LARGE AND DESC-INFLUENTIVE STATE SHOULD HAPPEN TO BE AGGRESS MEMBER X-IT WOULD DESC-COMMONLY HAVE WEIGHT DESC-ENOUGH WITH X-ITS NEIGHBOR TO WIN OVER SOME X-Y AS ASSOCIATE TO X-ITS CAUSE
if associates could not be found at home recourse would be had to the aid of foreign powers who would seldom be disinclined to encouraging the dissensions of a confederacy from the firm union of which they had so much to fear,IF ASSOCIATE COULD DESC-NOT BE FIND AT HOME RESULT WOULD BE HAVE TO AID DESC-FOREIGN POWER WHO WOULD DESC-SEVERAL DESC-DISINCENT TO ENCOURAGE DISSENSION CONFEDERACY FROM FIRM UNION WHICH X-Y HAVE DESC-SO DESC-MUCH TO FEAR
when the sword is once drawn the passions of men observe no bounds of moderation,WHEN SPIDER BE DESC-ONCE DRAW PATH OF MAN OBSERVE NO BIND MODERARATION
the suggestions of wounded pride the instigations of irritated resentment would be apt to carry the states against which the arms of the union were exerted to any extremes necessary to avenge the affront or to avoid the disgrace of submission,SUGGESTION WORNE PRIDE INSTIGATION DESC-IRRITATED RESENTMENT WOULD BE DESC-APPROPRIATE TO CARRY STATE AGAINST WHICH ARM UNION BE EXERT TO ANY EXTREME DESC-NECESSARY TO AVOID AFRONT OR TO AVOID DISGRACE SUBMITTION
the first war of this kind would probably terminate in a dissolution of the union,DESC-FIRST WAR THIS KIND WOULD DESC-PROBABLY TERMINATE IN DISSOLUTION UNION
this may be considered as the violent death of the confederacy,THIS MAY BE CONSIDER AS DESC-VIOLENT DEATH CONFEDERACY
its more natural death is what we now seem to be on the point of experiencing if the federal system be not speedily renovated in a more substantial form,X-ITS MORE DESC-NATURAL DEATH BE WHAT X-WE DESC-NOW SEEM TO BE ON POINT EXPERIENCE IF DESC-FEDERAL SYSTEM BE DESC-NOT DESC-SPEEDILY RENOVATE IN MORE DESC-SUBSTANTIAL FORM
it is not probable considering the genius of this country that the complying states would often be inclined to support the authority of the union by engaging in a war against the noncomplying states,X-IT BE DESC-NOT DESC-PROBABLY CONSIDER GENTLE THIS COUNTRY THAT COMPLY STATE WOULD DESC-OFTEN BE INSIDE TO SUPPORT AUTHORITY UNION BY ENGAGE IN WAR AGAINST NONCOMPLETE STATE
they would always be more ready to pursue the milder course of putting themselves upon an equal footing with the delinquent members by an imitation of their example,X-Y WOULD DESC-ALWAYS BE MORE DESC-READY TO PURSUE DESC-MILDER COURSE PUT X-MSELVES UPON DESC-EQUAL FOOTING WITH DESC-DELINQUENT MEMBER BY IMITATION X-Y EXAMPLE
and the guilt of all would thus become the security of all,AND GUILTY ALL WOULD DESC-THUS BECOME SECURITY ALL
our past experience has exhibited the operation of this spirit in its full light,X-WE PAST EXPERIENCE HAVE EXPOSE OPERATION THIS SPIRIT IN X-ITS DESC-FULL LIGHT
there would in fact be an insuperable difficulty in ascertaining when force could with propriety be employed,DESC-RE WOULD IN FACT BE DESC-INSURPASSABLE DIFFICULTY IN ASSUME WHEN FORCE COULD WITH PROPRIETY BE EMPLOY
in the article of pecuniary contribution which would be the most usual source of delinquency it would often be impossible to decide whether it had proceeded from disinclination or inability,IN ARTICLE DESC-PECUNIARY CONTRIBUTION WHICH WOULD BE MOST DESC-USUAL SOURCE DELINQUENCY X-IT WOULD DESC-OFTEN BE DESC-IMPOSSIBLE TO DECIDE WHER X-IT HAVE PROCEED FROM DISINCENTATION OR INABILITY
the pretense of the latter would always be at hand,PRESTENSE DESC-LATTER WOULD DESC-ALWAYS BE AT HAND
and the case must be very flagrant in which its fallacy could be detected with sufficient certainty to justify the harsh expedient of compulsion,AND CASE MUST BE DESC-VERY DESC-FLAGRANT IN WHICH X-ITS FALLACY COULD BE DETECT WITH DESC-SUFFICIENT CERTAINTY TO JUSTIFY DESC-HARSH EXPEDITENT COMMISSION
it is easy to see that this problem alone as often as it should occur would open a wide field for the exercise of factious views of partiality and of oppression in the majority that happened to prevail in the national council,X-IT BE DESC-EASY TO SEE THAT THIS PROBLEM DESC-ALONE AS DESC-OFTEN AS X-IT SHOULD OCCUR WOULD DESC-OPEN DESC-WIDE FIELD FOR EXERCISE DESC-FACTIVITY VIEW PARALLELITY AND OPPRESSION IN MAJORITY THAT HAPPEN TO PREVAIL IN DESC-NATIONAL COUNCIL
it seems to require no pains to prove that the states ought not to prefer a national constitution which could only be kept in motion by the instrumentality of a large army continually on foot to execute the ordinary requisitions or decrees of the government,X-IT SEEM TO REQUIRE NO PAIN TO PROVE THAT STATE OUGHT DESC-NOT TO PREFER DESC-NATIONAL CONSTITUTION WHICH COULD DESC-ONLY BE KEEP IN MOTION BY INSTRUMENTALITY DESC-LARGE ARMY DESC-CONTINUALLY ON FOOT TO EXECUTE DESC-ORDINARY REQUISITION OR DECLARATION GOVERNMENT
and yet this is the plain alternative involved by those who wish to deny it the power of extending its operations to individuals,AND DESC-YET THIS BE DESC-PLAIN ALTERNATIVE INVOLVE BY THOSE WHO WISH TO DENY X-IT POWER EXTEND X-ITS OPERATION TO INDIVIDUAL
such a scheme if practicable at all would instantly degenerate into a military despotism but it will be found in every light impracticable,DESC-SUCH SCHEME IF DESC-PRACTICALLY AT ALL WOULD DESC-IMMEDIATELY DEGENERATE INTO DESC-MILITARY DESPOTISM BUT X-IT WILL BE FIND IN EVERY LIGHT DESC-IMPRACTICAL
the resources of the union would not be equal to the maintenance of an army considerable enough to confine the larger states within the limits of their duty nor would the means ever be furnished of forming such an army in the first instance,RESOURCE UNION WOULD DESC-NOT BE DESC-EQUAL TO MAINTENANCE ARMY DESC-CONSIDERABLE DESC-ENOUGH TO CONTEND DESC-LARGER STATE WITHIN LIMIT X-Y DUTY NOR WOULD MEANS DESC-EVER BE FURNITURE FORCE DESC-SUCH ARMY IN DESC-FIRST INSTANCE
a project of this kind is little less romantic than the monstertaming spirit which is attributed to the fabulous heroes and demigods of antiquity,PROJECT THIS KIND BE DESC-LITTLE DESC-LESS DESC-RAPID THAN MORNTAMING SPIRIT WHICH BE ATTRIBUTE TO DESC-FABULOUS HERO AND DEMIGOD ANTIQUITY
even in those confederacies which have been composed of members smaller than many of our counties the principle of legislation for sovereign states supported by military coercion has never been found effectual,DESC-EVEN IN THOSE CONFEDERACIES WHICH HAVE BE COMPOSITE MEMBER DESC-SMALLER THAN DESC-MANY X-WE COUNTRY PRINCIPLE LEGISLATION FOR DESC-SOVEREIGN STATE SUPPORT BY DESC-MILITARY COERCION HAVE DESC-NEVER BE FIND DESC-EFFECTUAL
it has rarely been attempted to be employed but against the weaker members and in most instances attempts to coerce the refractory and disobedient have been the signals of bloody wars in which one half of the confederacy has displayed its banners against the other half,X-IT HAVE DESC-REGULARLY BE ATTEMPT TO BE EMPLOY BUT AGAINST DESC-WEAKER MEMBER AND IN MOST INSTANCE ATTEMPT TO COERCE DESC-REFRACTORY AND DESC-DISOBEDIENT HAVE BE SIGNAL DESC-BLOODY WAR IN WHICH ONE HALF CONFEDERATECY HAVE DISPLAY X-ITS BANDON AGAINST DESC-OR
it must carry its agency to the persons of the citizens,X-IT MUST CARRY X-ITS AGENCY TO PERSON CITIZEN
it must stand in need of no intermediate legislations but must itself be empowered to employ the arm of the ordinary magistrate to execute its own resolutions,X-IT MUST STAND IN NEED NO DESC-INTERNATIONAL LEGISLATION BUT MUST X-ITSELF BE EMPOWER TO EMPLOY ARM DESC-ORDINARY JUDGE TO EXECUTE X-ITS DESC-OWN RESOLUTION
the majesty of the national authority must be manifested through the medium of the courts of justice,MAJESTY DESC-NATIONAL AUTHORITY MUST BE MARK THROUGH MEDIUM COURT JUSTICE
the government of the union like that of each state must be able to address itself immediately to the hopes and fears of individuals and to attract to its support those passions which have the strongest influence upon the human heart,GOVERNMENT UNION LIKE THAT EACH STATE MUST BE DESC-ABLE TO ADDRESS X-ITSELF DESC-IMMEDIATELY TO HOPE AND FEAR INDIVIDUAL AND TO ATTRACT TO X-ITS SUPPORT THOSE PATIENCE WHICH HAVE DESC-STRONGEST INFLUENCE UPON DESC-HUMAN HEART
it must in short possess all the means and have aright to resort to all the methods of executing the powers with which it is intrusted that are possessed and exercised by the government of the particular states,X-IT MUST IN DESC-SHORT POSSESS ALL MEANS AND HAVE DESC-RIGHT TO RESERVE TO ALL METHOD EXECUTION POWER WITH WHICH X-IT BE INTRUST THAT BE POSSESS AND EXERCISE BY GOVERNMENT DESC-PARTICULAR STATE
the plausibility of this objection will vanish the moment we advert to the essential difference between a mere noncompliance and a direct and active resistance,PLAUSIBILITY THIS OBJECTION WILL VANISH MOMENT X-WE ADVERTISEMENT TO DESC-ESSENTIAL DIFFERENCE BETWEEN DESC-MERE NONCOMPLIANCE AND DESC-DIRECT AND DESC-ACTIVE RESISTANCE
if the interposition of the state legislatures be necessary to give effect to a measure of the union they have only not to act or to act evasively and the measure is defeated,IF INTERPOSITION STATE LEGISLATIVE BE DESC-NECESSARY TO GIVE EFFECT TO MEASURE UNION X-Y HAVE DESC-ONLY DESC-NOT TO ACT OR TO ACT DESC-EVASIVELY AND MEASURE BE RUIN
this neglect of duty may be disguised under affected but unsubstantial provisions so as not to appear and of course not to excite any alarm in the people for the safety of the constitution,THIS NECESSITY DUTY MAY BE DISCOUNT UNDER AFFECT BUT DESC-UNSUBSTANCED PROVISION DESC-SO AS DESC-NOT TO APPEAR AND COURSE DESC-NOT TO EXCITE ANY ALARM IN PEOPLE FOR SAFETY CONSTITUTION
the state leaders may even make a merit of their surreptitious invasions of it on the ground of some temporary convenience exemption or advantage,STATE LEADER MAY DESC-EVEN MAKE MERIT X-Y DESC-SURRETITEOUS INVASION X-IT ON GROUND SOME DESC-TEMPORARY CONVENIENCE EXEMPTION OR ADVANTAGE
no omissions nor evasions would answer the end,NO OMISSION NOR EVASION WOULD ANSWER END
they would be obliged to act and in such a manner as would leave no doubt that they had encroached on the national rights,X-Y WOULD BE OBLIGATE TO ACT AND IN DESC-SUCH MANNER AS WOULD LEAVE NO DOUBT THAT X-Y HAVE ECROACH ON DESC-NATIONAL RIGHTS
an experiment of this nature would always be hazardous in the face of a constitution in any degree competent to its own defense and of a people enlightened enough to distinguish between a legal exercise and an illegal usurpation of authority,EXPERIMENT THIS NATURE WOULD DESC-ALWAYS BE DESC-HARMFUL IN FACE CONSTITUTION IN ANY DEGREE DESC-COMPETENT TO X-ITS DESC-OWN DEFENSE AND PEOPLE DESC-ENLIGHTENED DESC-ENOUGH TO DISTINGUISH BETWEEN DESC-LEGAL EXERCISE AND DESC-ILLEGAL USURPATION AUTHORITY
the success of it would require not merely a factious majority in the legislature but the concurrence of the courts of justice and of the body of the people,SUCCESS X-IT WOULD REQUIRE DESC-NOT DESC-MERELY DESC-FACTIVITY MAJORITY IN LEGISLATIVE BUT CONCURRENCE COURT JUSTICE AND BODY PEOPLE
if the judges were not embarked in a conspiracy with the legislature they would pronounce the resolutions of such a majority to be contrary to the supreme law of the land unconstitutional and void,IF JUDGE BE DESC-NOT ENTRAVE IN CONSTITUTION WITH LEGISLATIVE X-Y WOULD PRONOUNCE RESOLUTION DESC-SUCH MAJORITY TO BE CONTRARY TO DESC-SUPER LEGISLATION LAND DESC-UNCONSTITUTIONAL AND VOID
