Input,Generated Gloss
the truth is that there is no method of securing to the rich the preference apprehended but by prescribing qualifications of property either for those who may elect or be elected,TRUTH BE THAT DESC-RE BE NO METHOD SECURE TO RIGGED PREFERENCE APPREHEND BUT BY REPRESENT QUALIFICATION PROPERTY EIR FOR THOSE WHO MAY ELECTION OR BE ELECT
but this forms no part of the power to be conferred upon the national government,BUT THIS FORM NO PART POWER TO BE CONFER UPON DESC-NATIONAL GOVERNMENT
its authority would be expressly restricted to the regulation of the times the places the manner of elections,X-ITS AUTHORITY WOULD BE DESC-EXPRESSLY RESTRICT TO REGULATION TIME PLACE MANNER ELECTION
the qualifications of the persons who may choose or be chosen as has been remarked upon other occasions are defined and fixed in the constitution and are unalterable by the legislature,QUALIFICATION PERSON WHO MAY CHOOSE OR BE ChoOSE AS HAVE BE REMARK UPON DESC-OR OCCASION BE DEFINE AND FIX IN CONSTITUTION AND BE UNDERTAKEABLE BY LEGISLATIVE
what will be the conclusion,WHAT WILL BE CONCLUSION
would they not be likely to prefer a conduct better adapted to their own immediate aggrandizement,WOULD X-Y DESC-NOT BE ELIGIBLE TO PREFER CONDUCT BETTER ADAPT TO SOME DOMESTIC AGRANDIZATION MENTION
1 particularly in the southern states and in this state,1 PARTICULARLY IN DESC-SOURN STATE AND IN THIS STATUTORY
the same subject continued concerning the power of congress to regulate the election of members from the new york packet,DESC-SAME SUBJECT CONTINUE CONCERN POWER CONGRESS TO REGULATE ELECTION MEMBER FROM NEW YORK PACKAGE
tuesday february 26 1788,TUESDAY FEBRUARY 26 1788
this say they was a necessary precaution against an abuse of the power,THIS SAY X-Y BE DESC-NECESSARY PRECAUTIONS AGAINST ABUSE POWER
a declaration of this nature would certainly have been harmless so far as it would have had the effect of quieting apprehensions it might not have been undesirable,DECLARATION THIS NATURE WOULD DESC-CERTAINLY HAVE BE HARMFUL SO FAR AS X-ITWOULD HAVE HAVE EFFECT QUIET APPREHENSION IT MIGHT NOT HAVE BEEN DESTROYABLE
a review of their situation in this particular would tend greatly to remove any ill impressions which may remain in regard to this matter,REVIEW X-Y SITUATION IN THIS DESC-PARTICULAR WOULD TEND GROSSLY TO REMOVE ANY DESPITE ILL IMPRESSION WHICH MAY BECOME IN REGARD TO THIS MATTER
but as that view would lead into long and tedious details i shall content myself with the single example of the state in which i write,BUT AS THAT VIEW WOULD LEAD INTO DESC-LONG AND RIDICULOUS DETAILS X-I SHALL CONTENT MYSELF WITH SLINGLE EXAMPLE STATE IN WHICH I WRITE
the alarming indifference discoverable in the exercise of so invaluable a privilege under the existing laws which afford every facility to it furnishes a ready answer to this question,DESC-ALARMING INDIFFERENCE DISCOVERABLE IN EXERCISE SO UNEXCESSIVE PRIVILEGE UNDER EMPLOYED LAW WHICH AFFORD EVERY FACILITY TO X-IT FURNITURE READY ANSWER TO THIS QUESTION
a similar comparison would lead to the same conclusion in respect to the constitutions of most of the other states,SIMILAR COMPARISON WOULD LEAD TO DESC-SAME CONCLUSION IN RESPECT TO CONSTITUTION MAJOR STATE
hitherto my observations have only aimed at a vindication of the provision in question on the ground of theoretic propriety on that of the danger of placing the power elsewhere and on that of the safety of placing it in the manner proposed,HITHERTO X-MY OBSERVATION HAVE DESC-ONLY AIM AT VINDICATION PROVISION IN QUESTION ON GROUND THORETIC PROPRIETY ON THAT DANGER PLACE POWER EXTERNALLY AND on THAT SAFETY PLACING IT IN METHOD PROPOSE
but there remains to be mentioned a positive advantage which will result from this disposition and which could not as well have been obtained from any other i allude to the circumstance of uniformity in the time of elections for the federal house of representatives,BUT DESC-RE REMAIN TO BE MENTION DOUBTIVE ADVANTAGE WHICH WILL RESULT FROM THIS DISPOSITION AND THE WORTHY COULD DESPITE THAN ANY OTHER X-I ALLUDE TO CIRCUMSTANCE UNIFORMITY IN TIME ELECTION FOR FEDERAL HOUSE REPRESENTATIVE
it is more than possible that this uniformity may be found by experience to be of great importance to the public welfare both as a security against the perpetuation of the same spirit in the body and as a cure for the diseases of faction,X-IT BE MORE THAN DESC-POSSIBLE THAT THIS UNIFORMITY MAY BE FIND BY EXPERIENCE TO BE DELICIOUS IMPORTANCE TO PUBLIC WELFARE BOTH AS SECURITY AGAINST PERPERMANENTATION SAME SPIRIT IN BODY AND AS CURE FOR DISEASE FACTORY
if each state may choose its own time of election it is possible there may be at least as many different periods as there are months in the year,IF EACH STATE MAY CHOOSE ITS DESC-OWN TIME ELECTION X-IT BE POSSIBLE RESPOND MAY BE AT DEFINITELY AS NUMBER DISTINGUISH PERIOD ASSRE BE MONTH IN YEAR
the times of election in the several states as they are now established for local purposes vary between extremes as wide as march and november,TIME ELECTION IN DESC-SEVERAL STATE AS X-Y BE DOUBT ESTABLISH FOR LOCAL PURPOSE VOLUME BETWEEN EXTREME AS WIDE AS MARSHALL AND NOVEMBER
the consequence of this diversity would be that there could never happen a total dissolution or renovation of the body at one time,CONSEQUENCE THIS DIFFERENCE WOULD BE THAT DESC-RE COULD NEVER HAPPEN TOTAL DISSOLUTION OR RENOVATION BODY AT ONE TIME
if an improper spirit of any kind should happen to prevail in it that spirit would be apt to infuse itself into the new members as they come forward in succession,IF DESC-IMPROPER SPIRIT ANY KIND SHOULD HAPPEN TO PREVAIL IN X-IT THAT SITUATION WOULD BE APPROPRIATE TO INSULATE MYSELF INTO NICE MEMBER ASS INVOLVE THROUGHOUT IN SECURITY
the mass would be likely to remain nearly the same assimilating constantly to itself its gradual accretions,MACHINE WOULD BE DESC-LIKELY TO REMAIN NEXT DOUBLE ASTIMILATE CONSTANTLY THROUGHOUT X-ITS GENERALLY ACCRETION
there is a contagion in example which few men have sufficient force of mind to resist,DESC-RE BE CONTAGION IN EXAMPLE WHICH DIFFERENT MAN HAVE SUFFICIENT FORCE MIND TO RESIST
i am inclined to think that treble the duration in office with the condition of a total dissolution of the body at the same time might be less formidable to liberty than one third of that duration subject to gradual and successive alterations,X-I BE INTERESTED TO THINK THAT TREBLE DURATION IN OFFICE WITH CONDITION TOTAL DISSOLUTION BODY AT DESC-SAME TIME MIGHT BE LESS FORCEAR TO LIBERTY THAN ONE THIRD THAT DECREASE SUBJECT TO GLOBAL AND SUCCESSIVE ALTERATION
uniformity in the time of elections seems not less requisite for executing the idea of a regular rotation in the senate and for conveniently assembling the legislature at a stated period in each year,UNIFORMITY IN TIME ELECTION SEEM DESC-NOT MORE PREREQUISITE FOR EXECUTE IDEA REGULAR ROOTATION IN SENEATE AND FOR COMFORTABLY ASSEMBLY LEGISLATIVE AT STATE PERIOD IN EACH YEAR
it may be asked why then could not a time have been fixed in the constitution,X-IT MAY BE ASK WHY DESC-N COUNTER TIME HAVE BE FIX IN CONSTITUTION
no better answer can be given than that it was a matter which might safely be entrusted to legislative discretion and that if a time had been appointed it might upon experiment have been found less convenient than some other time,NO DESC-BETTER ANSWER CAN BE GIVE THAN THAT X-IT BE MATTER SHORTLY BE ENTRASSE TO LEGISLATIVE DISCRETION AND THAT WHEN TIME HAVE BE ADMISS IT MIGHT UPON EXPERIMENT HAVE BEEN FIND LEAST MORE COMPREHENSIVE THEORY TIMES
the same answer may be given to the question put on the other side,DESC-SAME ANSWER MAY BE GIVE TO QUESTION PUT ON ANOR SIDE
the senate for the independent journal,SENE FOR DESC-INDEPENDENT JOURNAL
to the people of the state of new york having examined the constitution of the house of representatives and answered such of the objections against it as seemed to merit notice i enter next on the examination of the senate,TO PEOPLE STATE NEW YORK HAVE EXAMINE CONSTITUTION HOUSE REPRESENTATIVE AND ANSWER DESC-SUCH OBJECTION AGAINST X-IT AS SEEM TO MEMBER NOTICE I ENTER NEXT ON EMBRACEMENT SENEATE
the heads into which this member of the government may be considered are i the qualification of senators ii,HEAD INTO WHICH THIS MEMBER GOVERNMENT MAY BE CONSIDER BE X-I QUALIFICATION SENSOR IUS
the appointment of them by the state legislatures iii,APPOINTMENT X-Y BY STATE LEGISLATIVE IIUS
the equality of representation in the senate iv,EQUALITY REPRESENTATION IN SENE IV
the number of senators and the term for which they are to be elected v the powers vested in the senate,NUMBER SPEAKER AND TERM FOR WHICH X-Y BE TO BE ELECT V POWER VESTER IN SENEATE
i the qualifications proposed for senators as distinguished from those of representatives consist in a more advanced age and a longer period of citizenship,X-I QUALIFICATION PROPOSE FOR SPEAKER AS DISTINGUISH FROM THOSE REPRESENTATIVE CONSIST IN MORE ADVANCE AGE AND DESC-LONGER PERIOD CITIZENSHIP
a senator must be thirty years of age at least as a representative must be twentyfive,SENSOR MUST BE THIRTY YEAR AGE AT DESC-LEAST AS REPRESENTATIVE SHOULD BE TWENTYFIVE
and the former must have been a citizen nine years as seven years are required for the latter,AND DESC-FORMER MUST HAVE BE CITIZEN NEXT YEAR AS SEVEN YEAR BE REQUIRE FOR LATTER
it is equally unnecessary to dilate on the appointment of senators by the state legislatures,X-IT BE DESC-EQUALLY UNDUED TO DILATE ON APPOINTMENT SENSOR BY STATE LEGISLATIVE
among the various modes which might have been devised for constituting this branch of the government that which has been proposed by the convention is probably the most congenial with the public opinion,AMONG DESC-VARIOUS MODE WHICH MIGHT HAVE BE DEVISE FOR CONSTITUTE THIS BRIDGE GOVERNMENT THAT WHER THIS HAS BE PROPOSE BY CONVENTION BE DOUBTLY MOST GENERAL WITH PUBLIC OPINION
it is recommended by the double advantage of favoring a select appointment and of giving to the state governments such an agency in the formation of the federal government as must secure the authority of the former and may form a convenient link between the two systems,X-IT BE RECOMMEND BY DESC-DOUBLE ADVANTAGE FAVOR SELECTION APPOINTMENT AND GIVE TO STATE GOVERNMENT THREE AGENCY IN FORMATION FEDERAL AGRICULTURE AS MUST SAFEGUARD AUTHORITY FORMER AND MAY FORCE COMPREHENSIVE LINK BETWEEN TWO SYSTEM
the equality of representation in the senate is another point which being evidently the result of compromise between the opposite pretensions of the large and the small states does not call for much discussion,EQUALITY REPRESENTATION IN SENEATE BE ANOR POINT WHICH BE DESC-EVIDENTLY RESULT COMPROMISE BETWEEN OPPOSITE PRESTENSION LENGTH AND SMALL STATE DO DESPITE CALL FOR MUCH DISCUSSION
a common government with powers equal to its objects is called for by the voice and still more loudly by the political situation of america,COMMON GOVERNMENT WITH POWER DESC-EQUAL TO X-ITS OBJECT ARE CALL FOR BY VOICE AND STILL MORE LOUDLY BASED ON POLITICAL SITUATION AMERICA
a government founded on principles more consonant to the wishes of the larger states is not likely to be obtained from the smaller states,GOVERNMENT FIND ON PRINCIPLE MORE CONSOONANT TO WISH DESC-LARGER STATE BE DISCONTINUEDLY TO BE OBTAIN FROM SMALLER STATUTORY
the only option then for the former lies between the proposed government and a government still more objectionable,DESC-ONLY OPTION N FINAL LIE BETWEEN PROPOSE GOVERNMENT AND GAMES STILL MORE OBJECTIONABLE
under this alternative the advice of prudence must be to embrace the lesser evil and instead of indulging a fruitless anticipation of the possible mischiefs which may ensue to contemplate rather the advantageous consequences which may qualify the sacrifice,UNDER THIS ALTERNATIVE ADVICE PRUDENCE MUST BE TO EMBRACE DESC-LESSER EXPLOITATION AND SINCERE INDOULG EFFORTLESS ANTICIPATION POSSIBLE MISCHIEF WHICH MAY SUCCESS TO CONSIDER ABSTRONGLY AVAILABLE CONSEQUENCE THAT MAY QUALIFY SATISFACTION
in this spirit it may be remarked that the equal vote allowed to each state is at once a constitutional recognition of the portion of sovereignty remaining in the individual states and an instrument for preserving that residuary sovereignty,IN THIS SPIRIT X-IT MAY BE REMARK THAT DESC-EQUAL VOTE ALLOW TO EACH STATE BE AT TWICE CONSTITUTIONAL RECOGNITION PARTICULAR SOVEREIGNTY REMAIN IN INDIVIDUAL STANDARD AND INSTRUMENT FOR PRESERVE THAT RESIDUDARY SOLUTIONARY SUCCESSION
so far the equality ought to be no less acceptable to the large than to the small states since they are not less solicitous to guard by every possible expedient against an improper consolidation of the states into one simple republic,DESC-SO FINALLY EQUALITY OUGHT TO BE NO MESSIER ADAPTABLE THAN THROUGH SHORT STATE SINCE X-Y BE NOT MORE SUCCESSOUS TO GUARD BY EVERY POSSIBLE EXPEDITANT AGAINST DESPITE CONSOLIDATION STATUS INTO ONE SIMPLE REPUBLIC
another advantage accruing from this ingredient in the constitution of the senate is the additional impediment it must prove against improper acts of legislation,ANOR ADVANTAGE ACCOUNT FROM THIS INGREDIENT IN CONSTITUTION SENE BE DESC-ADDITIONAL IMPEDIMENT X-IT MUST PROVE AGAINST IMPROPER ACT LEGISLATION
no law or resolution can now be passed without the concurrence first of a majority of the people and then of a majority of the states,NO LAW OR RESOLUTION CAN DESC-NOW BE PASS WITHOUT COUNTERVENCIATIVE FIRST MAJORITY PEOPLE AND N MASSURED STATE
the number of senators and the duration of their appointment come next to be considered,NUMBER SENSOR AND DURATION X-Y APPOINTMENT COME NEXT TO BE CONSIDER
it is a misfortune incident to republican government though in a less degree than to other governments that those who administer it may forget their obligations to their constituents and prove unfaithful to their important trust,X-IT BE MISFORTUNE INCIDENT TO DESC-REPUBLIC GOVERNMENT THOUGH IN LEAST DEGREE THAN TO ORGANISE IT MAY FORGET Y OBLIGATION TO SHE CONSTITUENT AND PROVE UNFIRTHFUL TO SOME DESPITE TRUST
in this point of view a senate as a second branch of the legislative assembly distinct from and dividing the power with a first must be in all cases a salutary check on the government,IN THIS POINT VIEW SENEATE AS DESC-SECOND BRANCH DELECTIVE ASSEMBLY DISTINCTED FROM AND DIVISE POWER WITH FIRST MUST BE IN ALL CASE SATELLARY CHECK ON GOVERNMENT
it doubles the security to the people by requiring the concurrence of two distinct bodies in schemes of usurpation or perfidy where the ambition or corruption of one would otherwise be sufficient,X-IT DOUBLE SECURITY TO PEOPLE BY REQUIRE CONCURRENCE TWO DESC-DIFFERENT BODY IN SCHEME USURPATION OR PERFIDY WHERE AMBITION OR CORRUPTION ONE WOULD ANDERWISE BE SUFFICIENT
this is a precaution founded on such clear principles and now so well understood in the united states that it would be more than superfluous to enlarge on it,THIS BE PRECAUTIONS FIND ON DESC-SUCH CLEAR PRINCIPLE AND DESPITE SO THROUGHLY UNDERSTAND IN UNITE STATE THAT X-IT WOULD BE MORE THAN SUPERFLUOUS TO ENLARGE ON IT
the necessity of a senate is not less indicated by the propensity of all single and numerous assemblies to yield to the impulse of sudden and violent passions and to be seduced by factious leaders into intemperate and pernicious resolutions,NECESSITY SENTATE BE DESC-NOT MORE INDICATE BY PROPENSITY ALL SLEEVE AND NUMBEROUS ASSEMBLY TO YIELD TO INFLUENCE SUDSIDATE AND VIOLENT POLITICS AND TO BE SEDUCEBY FACTIOUS LEADER INTO INTEMERATED AND PERNICIOUS RESOLUTION
examples on this subject might be cited without number and from proceedings within the united states as well as from the history of other nations,EXAMPLE ON THIS SUBJECT MIGHT BE CITE WITHOUT NUMBER AND FROM PROCEEDINGS WITHIN UNITE STATE AS DESC-WELL AS FROM HISTORY OR NATION
but a position that will not be contradicted need not be proved,BUT POSITION THAT WILL DESC-NOT BE CONTRADICT NOT BE PROVE
all that need be remarked is that a body which is to correct this infirmity ought itself to be free from it and consequently ought to be less numerous,ALL THAT NEED BE REMARK BE THAT BODY WHICH BE TO DESC-CORRECT THIS INSFIRMITY OUGHT X-ITSELF TO BE FREE FROM IT AND CONSEQUENTLY AUGUST TEXT BETWEEN MANY NORME.
it ought moreover to possess great firmness and consequently ought to hold its authority by a tenure of considerable duration,X-IT OUGHT DESC-MOREOVER TO POSSIBLY GREAT FIRMNESS AND SUBSEQUENTLY ADOPT TO HOLD SHE AUTHORITY BY TERRITORY CONSISTENT DURATION
another defect to be supplied by a senate lies in a want of due acquaintance with the objects and principles of legislation,ANOR DEFECT TO BE SUPPLY BY SENEATE LIE IN WANT DESC-DUE ACCESSION WITH OBJECTIVE AND PRINCIPLE LEGISLATION
a good government implies two things first fidelity to the object of government which is the happiness of the people secondly a knowledge of the means by which that object can be best attained,DESC-GOOD GOVERNMENT INVOLVE TWO THING FIRST FRIENDSHIP TO OBJECTGY WHICH BE HAPPINESS PEOPLE SECONDLY KNOWLEDGE MEANS BY WHER THAT OBLIGATION CANNOT BE BEST ATTAIN
some governments are deficient in both these qualities most governments are deficient in the first,SOME GOVERNMENT BE DESC-DEFICIENT IN BOTH SE QUALITY MOST AGRICULTURE BE DEFAULT IN FIRST
i scruple not to assert that in american governments too little attention has been paid to the last,X-I SCRUPLE DESC-NOT TO ASSERT THAT IN AMERICAN GOVERNMENT THREE DOUBT ATTENTION HAVE BE PAY TO DEADLINE
the federal constitution avoids this error and what merits particular notice it provides for the last in a mode which increases the security for the first,DESC-FEDERAL CONSTITUTION AVOID THIS ERROR AND WHAT MEMBER PARTICULAR NOTICE X-IT PROVIDE FOR LOCAL IN MODE WHICH INCREASE SECURITY FOR FIRST
the mutability in the public councils arising from a rapid succession of new members however qualified they may be points out in the strongest manner the necessity of some stable institution in the government,MULTABILITY IN PUBLIC COUNCIL ARISE FROM DESC-RAPID SUCCESSION NEAR MEMBER DOUBTLY QUALIFY X-Y MAY BE POINT OUT IN STRONGEST MANNER NECESSITY SOME STABLE INSTITUTION IN GOVERNMENT
every new election in the states is found to change one half of the representatives,EVERY DESC-NEW ELECTION IN STATE BE FIND TO CHANGE ONE HALF REPRESENTATIVE
from this change of men must proceed a change of opinions and from a change of opinions a change of measures,FROM THIS CHANGE MAN MUST PROCEED THIRD OPINION AND FROM CAN DESC-CHANGEMENT OBJECTIVE X-POSS TRUE MEASURE
but a continual change even of good measures is inconsistent with every rule of prudence and every prospect of success,BUT DESC-CONTINUAL CHANGE EVEN DOUBT MEASURE BE INCONSISTENT WITH EVERY RULE PRUDENCE AND EVERY PROSPECT SUCCESS
the remark is verified in private life and becomes more just as well as more important in national transactions,REMARK BE VERIFY IN DESC-PRIVATE LIFE AND BECOME MORE JUST AS DOUBT AS MORE IMPORTANT IN NATIONAL TRANSACTION
to trace the mischievous effects of a mutable government would fill a volume,TO TRACE MISCHIEVOUS EFFECT DESC-MUTABLE GOVERNMENT WOULD FILL VOLUME
i will hint a few only each of which will be perceived to be a source of innumerable others,X-I WILL THINK DESC-FEW ONLY EACH WHICH WILL BE PERCEIVE TO BE SOURCE INDUMERABLE ALTERNATIVE
in the first place it forfeits the respect and confidence of other nations and all the advantages connected with national character,IN DESC-FIRST PLACE X-IT FORFEIGN RESPECT AND CONFIDENCE ALTERNATIVE NATION AND ALL ADVANTAGE CONNECT WITH NATIONAL CHARACTER
an individual who is observed to be inconstant to his plans or perhaps to carry on his affairs without any plan at all is marked at once by all prudent people as a speedy victim to his own unsteadiness and folly,INDIVIDUAL WHO BE OBSERVE TO BE DESC-INCONSTANT TO X-HE PLAN OR DOUBTLY TO CARRY ON HIS AFFAIR WITHOUT ANY PLANNING AT ALL BE MARK AT THROUGH TIME BY ALL PRIVACY PEOPLE AS SPEEDY VICTIM TOXICITY AND FOLLY
his more friendly neighbors may pity him but all will decline to connect their fortunes with his and not a few will seize the opportunity of making their fortunes out of his,X-HE MORE DESC-FRIENDLY NEIGHBOR MAY PITY HIM BUT ALL WILL DECLINE TO COMMUNICATE SHE FACTORY WITH THREE AND NOT SOME WILL SEIZE OPPORTUNITY MAKE x-Y FEW WILL SELF JOIN THE OCCASION THOUGH OUT HIS HOUSE
one nation is to another what one individual is to another with this melancholy distinction perhaps that the former with fewer of the benevolent emotions than the latter are under fewer restraints also from taking undue advantage from the indiscretions of each other,DESC-ONE NATION BE TO ANOR WHAT ONE INDIVIDUAL BE THROUGH THIS MELANTHOLY DISTINCTION MAYBE THAT EXTERNAL WITH FEWER BENEVOLVENT EMOTION THAN LATTER BE UNDER DIFFERENT RESTRICT DESPITELY FROM TAKE UNDUE ADVANTAGE FROM INDISCRETION EACH DECORATIVE
every nation consequently whose affairs betray a want of wisdom and stability may calculate on every loss which can be sustained from the more systematic policy of their wiser neighbors,EVERY NATION DESC-CONSEQUENTLY WHOSE AFFAIR BETRAY WANT WITNESS AND STABILITY MAY COLLECT ON EVERY LOSS WHICH CAN BE SUSTAIN FROM MORE SYSTEMATIC POLICY X-Y WIDER NEIGHBORHOOD
but the best instruction on this subject is unhappily conveyed to america by the example of her own situation,BUT DESC-BEST INSTRUCTION ON THIS SUBJECT BE UNDERSTANDINGLY CONVEY TO AMERICA BY EXAMPLE X-SHE DOUBT SITUATION
she finds that she is held in no respect by her friends that she is the derision of her enemies and that she is a prey to every nation which has an interest in speculating on her fluctuating councils and embarrassed affairs,SHE FIND THAT X-SHE BE HOLD IN NO RESPECT BY HER FRIEND THAT MICHEL BE DERISON DESC-HER EMPLOYER AND THAT SHOULD BE PREY TO EVERY NATION WHICH HAVE INTEREST IN SPECULATE ON THOSE FLAVORATE COUNCIL AND EMBRACED AFFAIR
the internal effects of a mutable policy are still more calamitous,DESC-INTERNAL EFFECT MULTABLE POLICY BE STILL MORE CALMITOUS
it poisons the blessing of liberty itself,X-IT POISON Bless BELIEF LIBERTY ELSE
law is defined to be a rule of action but how can that be a rule which is little known and less fixed,LAW BE DEFINE TO BE RULE ACTION BUT HOW CAN THAT BE REGULATION WHICH BE DESC-LITTLE KNOW AND MORE FIX
another effect of public instability is the unreasonable advantage it gives to the sagacious the enterprising and the moneyed few over the industrious and uniformed mass of the people,ANOR EFFECT PUBLIC INFRASTRUCTURE BE DESC-UNREASONABLE ADVANTAGE X-IT GIVE TO SAGITOUS ENTERPRISE AND MONEY FEW OVER INDUSTRIAL AND UNIFORM MASS PEOPLE
this is a state of things in which it may be said with some truth that laws are made for the few not for the many,THIS BE STATE THING IN WHICH X-IT MAY BE SAY WITH SOME TRUTH THAT LEGISLATION BE MAKE FOR DESC-FEW NOT FOR MANY
in another point of view great injury results from an unstable government,IN ANOR POINT VIEW DESC-GREAT INJURY RESULT FROM DESPITE GOVERNMENT
the want of confidence in the public councils damps every useful undertaking the success and profit of which may depend on a continuance of existing arrangements,WANT CONFIDENCE IN PUBLIC COUNCIL DUST EVERY DESC-USEFUL UNDERTAKING SUCCESS AND PROFIT WHICH MAY DEPEND ON CONTINUANCE EXIST ARRANGE
what prudent merchant will hazard his fortunes in any new branch of commerce when he knows not but that his plans may be rendered unlawful before they can be executed,WHAT DESC-PRINCIPAL MERCHANT WILL HAZARD X-HE FIELDS IN ANY DOUBT BRANCH COMMERCE WHEN EXPERIENCE NOBODY BETWEEN BUT THAT JOHN PLAN MAY BE RELIEVE ILLEGAL BEFORE THEY CAN BE EFFORT
what farmer or manufacturer will lay himself out for the encouragement given to any particular cultivation or establishment when he can have no assurance that his preparatory labors and advances will not render him a victim to an inconstant government,WHAT FARMER OR MACHINER WILL LAY X-HIMSELF OUT FOR ENCOURAGEMENT GIVE TO ANY DESC-PARTICULAR CULTURE OR ESTABLISHMENT WHEN HIS PREPARATORY LABOR AND APPROACH WILL DESPITELY RARE HIM VICTIM TO INCONSTANT GOVERNMENT
in a word no great improvement or laudable enterprise can go forward which requires the auspices of a steady system of national policy,IN WORD NO DESC-GREAT IMPROVEMENT OR LAUGHTERABLE ENTERPRISE CAN GO FORWARD WHICH REQUIRE AUSPIE STEEL SYSTEM NATIONAL POLICY
but the most deplorable effect of all is that diminution of attachment and reverence which steals into the hearts of the people towards a political system which betrays so many marks of infirmity and disappoints so many of their flattering hopes,BUT MOST DESC-DEPLORABLE EFFECT ALL BE THAT DIMINTION ATTACHMENT AND REVENUE WHICH STEAL INTO HEART PEOPLE TOWARDS DOCUMENTARY SYSTEM WHERE BETRAY SO MANY MARK INSFIRMITY AND DISAPPOINT SOMETHING X-Y TERROR HOPE
no government any more than an individual will long be respected without being truly respectable nor be truly respectable without possessing a certain portion of order and stability,NO GOVERNMENT ANY MORE THAN INDIVIDUAL WILL DESC-LONG BE RESPECT WITHOUT BE TRUELY RELATEABLE NOR BE RELEVANTLY RESPONSIBLE UNLESS POSE CERTAIN PARTION ORDER AND STABILITY
the senate continued for the independent journal,SENE CONTINUE FOR DESC-INDEPENDENT JOURNAL
to the people of the state of new york a fifth desideratum illustrating the utility of a senate is the want of a due sense of national character,TO PEOPLE STATE NEW YORK DESC-FIFTH DESIDERATUM ILLUSTRATE UTILISATION SENATUM BE WANT DURING SENSE NATIONAL CHARACTER
yet however requisite a sense of national character may be it is evident that it can never be sufficiently possessed by a numerous and changeable body,DESC-YET HOWEVER PREREQUISITE SENSE NATIONAL CHARACTER MAY BE X-IT BE EXPLICIT THAT SOMETHING SHALL NEVER BE DEPENDENCY BY NUMBEROUS AND CHANGEABLE BODY
i add as a sixth defect the want in some important cases of a due responsibility in the government to the people arising from that frequency of elections which in other cases produces this responsibility,X-I ADD AS DESC-SIXTH DEFECT WANT IN SOME EXCELLENT CASE DURING RESPONSIBILITY IN GOVERNMENT TO PEOPLE ARISE FROM THAT FREQUENCY ELECTION WHICH IN ALTERNATIVE CAUSE PRODUCE THIS RESULT
this remark will perhaps appear not only new but paradoxical,THIS REMARK WILL DESC-PERHAPS APPEAR NOT DOUBT THROUGH NEXT BUT PARADOXICAL
it must nevertheless be acknowledged when explained to be as undeniable as it is important,X-IT MUST DESC-NEVERLESS BE ACKNOWLEDGE WHEN EXPLAIN TO BE AS UNDENIABLE ASS WHER IT BE SUBSTANTIAL
responsibility in order to be reasonable must be limited to objects within the power of the responsible party and in order to be effectual must relate to operations of that power of which a ready and proper judgment can be formed by the constituents,RESPONSIBILITY IN ORDER TO BE DESC-REASONABLY MUST BE LIMIT TO OBJECT WITHIN POWER DESPONDENT PARTY AND UNDER ORDANIZED MUST RELATIVE TO OPERATION THAT POTENTIAL WHICH PREPARE AND PERFECT JUDGMENT CAN BE FORCE BY CONSTITUENT
the objects of government may be divided into two general classes the one depending on measures which have singly an immediate and sensible operation the other depending on a succession of wellchosen and wellconnected measures which have a gradual and perhaps unobserved operation,OBJECTIVE GOVERNMENT MAY BE DISTRIBUTE INTO TWO DESC-GENERAL CLASS ONE DEPEND ON MEASURE WHICH HAVE SONALLY IMMEDIATE AND SENSIBLE OPERATION ORDER DEPENDENT ON SUCCESSION WELLCHOSEN AND WORTHORN CONNECT MESSAGE THOSE HAVE ADJUSTMENTAL AND POSSIBLY UNOBSERVED OPPORTUNITY
the importance of the latter description to the collective and permanent welfare of every country needs no explanation,IMPORTANCE DESC-LATTER DESCRIMINATION TO COLLEAGUE AND PERMANENT WELFARE EVERY COUNTRY NEED NO EXPLANATION
nor is it possible for the people to estimate the share of influence which their annual assemblies may respectively have on events resulting from the mixed transactions of several years,NOR BE X-IT DESC-POSSIBLE FOR PEOPLE TO ESTIMATE SHARE INFLUENCE WHICH HYDROLOGICAL ASSEMBLY MAY RETRIEVELY HAVE ON EVENT RESULT FROM MIXED TRANSACTION SEVERAL YEAR
it is sufficiently difficult to preserve a personal responsibility in the members of a numerous body for such acts of the body as have an immediate detached and palpable operation on its constituents,X-IT BE SUFFICIENTLY DESC-DIFFICULT TO PRESERVE PERSONAL RESPONSIBILITY IN MEMBER NUMBEROUS BODY FOR SUCH ACT BORDER AS HAVE IMMEDIATE DISCHARGE AND PALPABABLE OPERATION ON SOME CONSTITUENT
thus far i have considered the circumstances which point out the necessity of a wellconstructed senate only as they relate to the representatives of the people,THUS DESC-FAR X-I HAVE CONSIDER CIRCUMSTANCE WHICH POINT OUT NECESSITY WELLCONSTRUCT SENATE ONE TIME AS SHE RELATE TO REPRESENTATIVE PEOPLE
to a people as little blinded by prejudice or corrupted by flattery as those whom i address i shall not scruple to add that such an institution may be sometimes necessary as a defense to the people against their own temporary errors and delusions,TO PEOPLE AS DESC-LITTLE BLIND BY PREJUDICE OR CORRUPLEBY BE THROUGH THOSE WHOM X-I ADDRESS I SHALL NOT SKRUPLE TO ADD THAT SUCH INSTITUTION MAY BE SOMETIMES NEEDED AS DEFENSE TO POPULAR AGAINST SHOULDER EXEMPT AND DELUSION Y OWN TEMPORARY ERROR & DELUSION
