Input,Target Gloss,Predicted Gloss
sl we are witnessing both natural and human crises taking place in the arctic .,SL X-WE BE WITNESS BOTH DESC-NATURAL AND DESC-HUMAN CRISIS TAKE PLACE IN ARCTIC,SL X-WE BE WATCH BOTH DESC-NATURAL AND DESC-HUMAN CRISIS TAKE PLACE IN ARCTIC
it has worn down the resistance of greek society and the economic strength of the greeks .,X-IT HAVE DESC-WORN DESC-DOWN RESISTANCE GREEK SOCIETY AND DESC-ECONOMIC STRENGTH GREEK,X-IT HAVE WEAR DESC-DOWN RESISTANCE GREEK SOCIETY AND DESC-ECONOMIC STRENGTH GREEK
implementation of directive 2006 / 43 / ec on statutory audits of annual accounts and consolidated accounts,IMPLEMENTATION DIRECTIVE 2006 43 EC ON DESC-STATUTORY AUDIT DESC-ANNUAL ACCOUNT AND DESC-CONSOLIDATED ACCOUNT,IMPLEMENTATION DIRECTIVE 2006 43 EC ON DESC-STATUTORY AUDIT DESC-ANNUAL ACCOUNT AND CONSOLIDATE ACCOUNT
"thank you , mr guardans cambó .",X-YOU MR GUARDAN CAMB,X-YOU MR GUARDAN CAMPB
the delay needs to be relentlessly analysed and investigated .,DELAY NEED TO BE DESC-RELENTLESSLY ANALYZE AND INVESTIGATE,DELAY NEED TO BE DESC-NUMBERSIDELY ANALYZE AND INVESTIGATE
the european union supports this process and is pleased with it .,EUROPEAN UNION SUPPORT THIS PROCESS AND BE PLEASE WITH X-IT,EUROPEAN UNION SUPPORT THIS PROCESS AND BE DESC-PLEASED WITH X-IT
people are dying in the streets almost every day in protests against this fascist regime .,PEOPLE BE DIE IN STREET DESC-ALMOST EVERY DAY IN PROTEST AGAINST THIS DESC-FASCIST REGIME,PEOPLE BE DIE IN STREET DESC-ALMOST EVERY DAY IN PROTEST AGAINST THIS DESC-FAZIST REGIME
"we have completed the first round of questions , which were free questions on a variety of subjects .",X-WE HAVE DESC-COMPLETE DESC-FIRST ROUND QUESTION WHICH BE DESC-FREE QUESTION ON VARIETY SUBJECT,X-WE HAVE DESC-COMPLETE DESC-FIRST ROUND QUESTION WHICH BE DESC-FREE QUESTION ON VARIOUS SUBJECT
i am sure that her faultless work will be an excellent contribution to the entire european union .,X-I BE DESC-SURE THAT X-SHE DESC-FAULTLESS WORK WILL BE DESC-EXCELLENT CONTRIBUTION TO DESC-ENTIRE EUROPEAN UNION,X-I BE DESC-SURE THAT X-SHE DESC-FAILLESS WORK WILL BE DESC-EXCELLENT CONTRIBUTION TO DESC-ENTIRE EUROPEAN UNION
i hope that we can together bring this first instrument of transnational democracy into being .,X-I HOPE THAT X-WE CAN DESC-TOGER BRING THIS DESC-FIRST INSTRUMENT DESC-TRANSNATIONAL DEMOCRACY INTO BE,X-I HOPE THAT X-WE CAN DESC-TOGER BRING THIS DESC-FIRST INSTRUMENT TRANSNATIONAL DEMOCRACY INTO BE
there are also more pragmatic reasons .,DESC-RE BE DESC-ALSO MORE DESC-PRAGMATIC REASON,DESC-RE BE DESC-ALSO MORE DESC-PragmatICAL REASON
of course violence by the uighurs should be condemned too .,COURSE VIOLENCE BY UIGHUR SHOULD BE CONDEMN DESC-TOO,COURSE VIOLENCE BY UIGUR SHOULD BE CONDEMN DESC-TOO
you are very often alone in the car in strange surroundings .,X-YOU BE DESC-VERY DESC-OFTEN DESC-ALONE IN CAR IN DESC-STRANGE SURROUNDINGS,X-YOU BE DESC-VERY DESC-OFTEN DESC-ALONE IN CAR IN DESC-STRAIGHT ENVIRONMENT
"in college , i took the opportunity to study several courses of their history and literature under a rabbi .",IN COLLEGE X-I TAKE OPPORTUNITY TO STUDY DESC-SEVERAL COURSE X-Y HISTORY AND LITERATURE UNDER RABBI,IN COLLEGE X-I TAKE OPPORTUNITY TO STUDY DESC-SEVERAL COURSE X-Y HISTORY AND LISTENING UNDER RABI
"with respect to article 13 , both sides want to update migration .",WITH RESPECT TO ARTICLE 13 BOTH SIDE WANT TO UPDATE MIGRATION,WITH RESPECT TO ARTICLE 13 BOTH SIDE WANT TO UPDATES MIGRATION
this is also a chance to combat the relativisation of past crimes .,THIS BE DESC-ALSO CHANCE TO COMBAT RELATIVISATION PAST CRIME,THIS BE DESC-ALSO CHANCE TO COMBAT RELATATION PAST CRIME
this agreement deals both with human rights and with the political dialogue to exert pressure to bring about changes .,THIS AGREEMENT DEAL BOTH WITH DESC-HUMAN RIGHTS AND WITH DESC-POLITICAL DIALOGUE TO EXERT PRESSURE TO BRING ABOUT CHANGE,THIS AGREEMENT DEAL BOTH WITH DESC-HUMAN RIGHTS AND WITH DESC-POLITICAL DIALOGUE TO EXERCISE PRESSURE TO BRING ABOUT CHANGE
mental health disorders also often lead to disability and can thus cause a significant economic burden on society .,DESC-MENTAL HEALTH DISORDER DESC-ALSO DESC-OFTEN LEAD TO DISABILITY AND CAN DESC-THUS CAUSE DESC-SIGNIFICANT DESC-ECONOMIC BURDEN ON SOCIETY,DESC-MENTAL HEALTH DISEASE DESC-ALSO DESC-OFTEN LEAD TO DISABILITY AND CAN DESC-THUS CAUSE DESC-SIGNIFICANT DESC-ECONOMIC BURDEN ON SOCIETY
it is to be feared that the present crisis and rising unemployment will increase that alarming number .,X-IT BE TO BE FEAR THAT DESC-PRESENT CRISIS AND RISE UNEMPLOYMENT WILL INCREASE THAT DESC-ALARMING NUMBER,X-IT BE TO BE FEEL THAT DESC-PRESENT CRISIS AND RISE UNEMPLOYMENT WILL INCREASE THAT DESC-ALARMING NUMBER
"but it actually does the contrary , because this law may well foster ignorance , taboo and stigma .",BUT X-IT DESC-ACTUALLY DO CONTRARY BECAUSE THIS LAW MAY DESC-WELL DESC-FOSTER IGNORANCE TABOO AND STIGMA,BUT X-IT DESC-ACTUALLY DO CONTRARY BECAUSE THIS LAW MAY DESC-WELL FORCE INVESTIGATION TABOO AND STigma
i believe that it would have been preferable to make a prior judicial ruling compulsory .,X-I BELIEVE THAT X-IT WOULD HAVE BE DESC-PREFERABLE TO MAKE DESC-PRIOR DESC-JUDICIAL RULING COMPULSORY,X-I BELIEVE THAT X-IT WOULD HAVE BE DESC-PREPARABLE TO MAKE DESC-PRIOR DESC-JUDICIAL RULING DESC-COMMISSIONARY
my second observation is that we must not fall for gimmicks .,X-MY DESC-SECOND OBSERVATION BE THAT X-WE MUST DESC-NOT FALL FOR GIMMICK,X-MY DESC-SECOND OBSERVATION BE THAT X-WE MUST DESC-NOT FALL FOR GIMICK
we had originally agreed to put it on the agenda on the assumption that everything was in order .,X-WE HAVE DESC-ORIGINALLY AGREE TO PUT X-IT ON AGENDA ON ASSUMPTION THAT EVERYTHING BE IN ORDER,X-WE HAVE DESC-ORIGINALLY AGREE TO PUT X-IT ON AGENDA ON ASSUME THAT EVERYTHING BE IN ORDER
"however , what arrangements would pertain when children travel by train , coach or other means of public transport ?",DESC-HOWEVER WHAT ARRANGEMENT WOULD PERTAIN WHEN CHILD TRAVEL BY TRAIN COACH OR DESC-OR MEANS PUBLIC TRANSPORT,DESC-HOWEVER WHAT ARRANGEMENT WOULD REGARD WHEN CHILD TRAVEL BY TRAIN COURSE OR DESC-OR MEANS PUBLIC TRANSPORT
"as you know , we have updated it in cooperation with the commission and parliament in 200let me say a word about piracy because that relates to our youngest operation , atalanta .",AS X-YOU KNOW X-WE HAVE UPDATE X-IT IN COOPERATION WITH COMMISSION AND PARLIAMENT IN 200LET X-I SAY WORD ABOUT PIRACY BECAUSE THAT RELATE TO X-WE DESC-YOUNGEST OPERATION ATALANTA,AS X-YOU KNOW X-WE HAVE UPDATES X-IT IN COOPERATION WITH COMMISSION AND PARLIAMENT IN DESC-200LET X-I SAY WORD ABOUT PIRACY BECAUSE THAT RELATE TO X-WE DESC-YOUNGEST OPERATION ATALANTA
many more thought that it would never happen or that it was doomed to failure .,DESC-MANY MORE THOUGHT THAT X-IT WOULD DESC-NEVER HAPPEN OR THAT X-IT BE DOOM TO FAILURE,DESC-MANY MORE THINK THAT X-IT WOULD DESC-NEVER HAPPEN OR THAT X-IT BE DOOM TO FAILURE
health concerns associated with electromagnetic fields short presentation,HEALTH CONCERN ASSOCIATE WITH DESC-ELECTROMAGNETIC FIELD DESC-SHORT PRESENTATION,HEALTH CONCERN ASSOCIATE WITH DESC-EMOTIONAL FIELD DESC-SHORT PRESENTATION
"fr madam president , commissioner , when i arrived here i was extremely annoyed .",FR MADAM PRESIDENT COMMISSIONER WHEN X-I ARRIVE DESC-HERE X-I BE DESC-EXTREMELY DESC-ANNOYED,FR MADAM PRESIDENT COMMISSIONER WHEN X-I ARRIVE DESC-HERE X-I BE DESC-EXTREMELY ANGRY
"pl mr president , i could not endorse mrs vălean's report .",DESC-LEAN X-POSS REPORT X-I COULD DESC-NOT ENDORSE MR V,PL MR PRESIDENT X-I COULD DESC-NOT ENDORSE MR VULEAN X-POSS REPORT
it is once again the time for lady no chancellor merkel to strut her stuff .,X-IT BE DESC-ONCE DESC-AGAIN TIME FOR LADY NO CHANCELLOR MERKEL TO STRUT X-SHE STUFF,X-IT BE DESC-ONCE DESC-AGAIN TIME FOR LADY NO CHANCELOR MERKEL TO STRUT X-SHE STICK
it is therefore that much more important the vehicle be in faultless condition .,X-IT BE DESC-REFORE THAT DESC-MUCH MORE DESC-IMPORTANT VEHICLE BE IN DESC-FAULTLESS CONDITION,X-IT BE DESC-REFORE THAT DESC-MUCH MORE DESC-IMPORTANT VEHICLE BE IN DESC-FAILLESS CONDITION
"it is also partially mentioned in the larosière report , which is a fine piece of work .",X-IT BE DESC-ALSO DESC-PARTIALLY MENTION IN LAROSI?RE REPORT WHICH BE FINE PIECE WORK,X-IT BE DESC-ALSO DESC-PARTICULARLY MENTION IN LARORISIERE REPORT WHICH BE FINE PIECE WORK
it is thanks to mr gauzès that we have got it off the ground .,X-IT BE THANKS TO MR GAUZ?S THAT X-WE HAVE GET X-IT OFF GROUND,X-IT BE THANKS TO MR GAUZÉ THAT X-WE HAVE GET X-IT OFF GROUND
"although the two directives function independently in theory , in practice they need one another .",ALTHOUGH TWO DIRECTIVE FUNCTION DESC-INDEPENDENTLY IN ORY IN PRACTICE X-Y NEED ONE ANOR,ALTHOUGH TWO DIRECTIVE FUNCTION DESC-INDEPENDENTLY IN THEORY IN PRACTICE X-Y NEED ONE ANOR
"without any doubt , this is going to be one of the most important issues facing us in 200we have to deliver and to deliver in a sensible manner .",WITHOUT ANY DOUBT THIS BE GO TO BE ONE MOST DESC-IMPORTANT ISSUE FACE X-WE IN DESC-200WE HAVE TO DELIVER AND TO DELIVER IN SENSIBLE MANNER,WITHOUT ANY DOUBT THIS BE GO TO BE ONE MOST DESC-IMPORTANT ISSUE FACE X-WE IN DESC-200WE HAVE TO DELIVER AND TO DELIVER IN DESC-SENSIBLE MANNER
"finally , the un has today published a report on water that makes some frightening projections for the future .",DESC-FINALLY UN HAVE TODAY PUBLISH REPORT ON WATER THAT MAKE SOME DESC-FRIGHTENING PROJECTION FOR FUTURE,DESC-FINALLY UN HAVE TODAY PUBLISH REPORT ON WATER THAT MAKE SOME DESC-FURRYING PROJECTION FOR FUTURE
turkey and cyprus are neighbours .,TURKEY AND CYPRUS BE NEIGHBOR,TURKEY AND CYPRUS BE NEIGHBOUR
she was then my special representative for the caucasus .,X-SHE BE DESC-N X-MY DESC-SPECIAL REPRESENTATIVE FOR CAUCASUS,X-SHE BE DESC-N X-MY DESC-SPECIAL REPRESENTATIVE FOR CAUCUSUS
"in most cases , the aggressor is the husband or partner , or an acquaintance .",IN MOST CASE AGGRESSOR BE HUSBAND OR PARTNER OR ACQUAINTANCE,IN MOST CASE AGGRESSOR BE HOUSE OR PARTNER OR NEIGHBOR
loud and sustained applause,DESC-LOUD AND SUSTAIN APPLAUSE,DESC-LOUD AND DESC-SUSTAINED APPLAUSE
we do not want their sacrifice to be in vain .,X-WE DO DESC-NOT WANT X-Y SACRIFICE TO BE IN DESC-VAIN,X-WE DO DESC-NOT WANT X-Y SATISFACTION TO BE IN DESC-VAIN
sbarbati report,SBARBATUS REPORT,SBARBATI REPORT
thus the absence of specific funding for urban spend in the 2007 2015 programme is increasingly being felt .,DESC-THUS ABSENCE SPECIFIC FUND FOR DESC-URBAN SPEND IN 2007 2015 PROGRAM BE DESC-INCREASINGLY BE FEEL,DESC-THUS ABSENCE SPECIFIC FUNDING FOR DESC-URBAN SPEND IN 2007 2015 PROGRAM BE DESC-INCREASINGLY BE FEEL
we affirm that this service should be assigned to the commission for administrative purposes .,X-WE AFFIRM THAT THIS SERVICE SHOULD BE ASSIGN TO COMMISSION FOR DESC-ADMINISTRATIVE PURPOSE,X-WE AFFIRME THAT THIS SERVICE SHOULD BE ASSIGN TO COMMISSION FOR DESC-ADMINISTRATIVE PURPOSE
"unfortunately , the guidelines identified in the lisbon strategy will not be implemented until the end of 20secondly , i call for more efforts to increase literacy and encourage skills upgrading for people from disadvantaged backgrounds .",DESC-UNFORTUNATELY GUIDELINE IDENTIFY IN LISBON STRATEGY WILL DESC-NOT BE IMPLEMENT UNTIL END DESC-20SECONDLY X-I CALL FOR MORE EFFORT TO INCREASE LITERACY AND ENCOURAGE SKILL UPGRADE FOR PEOPLE FROM DESC-DISADVANTAGED BACKGROUND,DESC-UNFORTUNATELY GUIDELINE IDENTIFY IN LISBON STRATEGY WILL DESC-NOT BE IMPLEMENT UNTIL END DESC-20SECONDLY X-I CALL FOR MORE EFFORT TO INCREASE LANGUAGE AND ENCOURAGE SKILL UPGRADE FOR PEOPLE FROM DESC-DISABLED BACKGROUND
this style of organisation would have the advantage of further improving the commission's work under your presidency .,THIS STYLE ORGANIZATION WOULD HAVE ADVANTAGE DESC-FURR IMPROVE COMMISSION X-POSS WORK UNDER X-YOU PRESIDENCY,THIS STAGE ORGANIZATION WOULD HAVE ADVANTAGE DESC-FURR IMPROVE COMMISSION X-POSS WORK UNDER X-YOU PRESIDENCY
"within months he had stood down , having performed his function of bringing ridicule upon the european parliament .",WITHIN MONTH X-HE HAVE STAND DESC-DOWN HAVE PERFORM X-HE FUNCTION BRING RIDICULE UPON EUROPEAN PARLIAMENT,WITHIN MONTH X-HE HAVE STAND DESC-DOWN HAVE PERFORM X-HE FUNCTION BRING SCOURCH UPON EUROPEAN PARLIAMENT
greece will have to abide by its agreements by actually implementing the reform plans .,GREECE WILL HAVE TO ABIDE BY X-ITS AGREEMENT BY DESC-ACTUALLY IMPLEMENT REFORM PLAN,GREECE WILL HAVE TO ADOPT BY X-ITS AGREEMENT BY DESC-ACTUALLY IMPLEMENT REFORM PLAN
let me give you the example of sapientia university in romania .,LET X-I GIVE X-YOU EXAMPLE SAPIENTIUM UNIVERSITY IN ROMANIUM,LET X-I GIVE X-YOU EXAMPLE SAPENTIUM UNIVERSITY IN ROMANIUM
i remember having to cycle eight kilometres in the winter of 1944 just to get two eggs .,X-I REMEMBER HAVE TO CYCLE EIGHT KILOMETRE IN WINTER 1944 DESC-JUST TO GET TWO EGG,X-I REMEMBER HAVE TO CYCLE EIGHT KMILE IN WINTER 1944 DESC-JUST TO GET TWO EGG
"the systemic risk becomes apparent afterwards , when the crisis has erupted .",DESC-SYSTEMIC RISK BECOME DESC-APPARENT DESC-AFTERWARDS WHEN CRISIS HAVE ERUPT,DESC-SYSTEMIC RISK BECOME DESC-APPARENT DESC-AFTERNOON WHEN CRISIS HAVE ERUPTED
"these security measures should not , all the same , impede the smooth flow of passenger traffic at airports .",SE SECURITY MEASURE SHOULD DESC-NOT ALL DESC-SAME IMPEDE DESC-SMOOTH FLOW PASSENGER TRAFFIC AT AIRPORT,SE SECURITY MEASURE SHOULD DESC-NOT ALL DESC-SAME IMPAIR DESC-SMOOTH FLOW PASSENGER TRAFFIC AT AIRPORT
"moreover , this test is very detailed the proposal is lacking in flexibility .",DESC-MOREOVER THIS TEST BE DESC-VERY DETAIL PROPOSAL BE LACK IN FLEXIBILITY,DESC-MOREOVER THIS TEST BE DESC-VERY DESC-DETAILED PROPOSAL BE LACK IN FLEXIBILITY
"the first is nuclear just the word , merely broaching the subject , frightens us .",DESC-FIRST BE DESC-NUCLEAR DESC-JUST WORD DESC-MERELY BROACH SUBJECT FRIGHTEN X-WE,DESC-FIRST BE DESC-NUCLEAR DESC-JUST WORD DESC-MERELY BREACH SUBJECT FRIGHTEN X-WE
i am talking about the pan european constanţa trieste oil pipeline .,TRIESTE OIL PIPELINE PAN EUROPEAN CONSTAN,X-I BE TALK ABOUT PAN EUROPEAN CONSTITUENZA TRIESTE OIL PIPELINE
research fund for coal and steel,RESEARCH FUND FOR COAL AND STEEL,RESEARCH FUND FOR COAL AND SAFETY
"yes , mrs panayotopoulos cassiotou , what i said earlier to mrs doyle also applies here .",DESC-YES MR PANAYOTOPOULO CASSIOTOU WHAT X-I SAY DESC-EARLIER TO MR DOYLE DESC-ALSO APPLY DESC-HERE,DESC-YES MR PANYOPOULOS CASTIOTOOU WHAT X-I SAY DESC-EARLIER TO MR DOYLE DESC-ALSO APPLY DESC-HERE
we are examining the legality of this move .,X-WE BE EXAMINE LEGALITY THIS MOVE,X-WE BE EXAMINE LEGISLITY THIS MOVE
a common automated system will enable queries to be resolved more quickly and at a lower cost .,DESC-COMMON AUTOMATE SYSTEM WILL ENABLE QUERY TO BE RESOLVE MORE DESC-QUICKLY AND AT DESC-LOWER COST,DESC-COMMON DESC-AUTOMATIC SYSTEM WILL ENABLE QUESTION TO BE RESOLVE MORE DESC-QUICKLY AND AT DESC-LOWER COST
thirdly and this is very important member states must reserve the right to demand prior authorisation .,DESC-THIRDLY AND THIS BE DESC-VERY DESC-IMPORTANT MEMBER STATE MUST RESERVE DESC-RIGHT TO DEMAND DESC-PRIOR AUTHORISATION,DESC-THIRDLY AND THIS BE DESC-VERY DESC-IMPORTANT MEMBER STATE MUST RESERVE DESC-RIGHT TO DEMAND DESC-PRIOR AUTHORISE
the esa may also investigate alleged incompatible aid granted by these efta countries .,ESA MAY DESC-ALSO INVESTIGATE ALLEGE DESC-INCOMPATIBLE AID GRANT BY SE EFTA COUNTRY,ESA MAY DESC-ALSO INVESTIGATE ALLEGED DESC-INCOMPATIBLE AID GRANT BY SE EFTA COUNTRY
i will close with the words of my late countryman mr justice asprey reform ?,X-I WILL DESC-CLOSE WITH WORD X-MY DESC-LATE COUNTRYMAN MR JUSTICE ASPREY REFORM,X-I WILL DESC-CLOSE WITH WORD X-MY DESC-LATE COUNTRYMAN MR JUSTICE ASPRAY REFORM
i hope you can give me a straight answer to that question .,X-I HOPE X-YOU CAN GIVE X-I DESC-STRAIGHT ANSWER TO THAT QUESTION,X-I HOPE X-YOU CAN GIVE X-I DESC-STRONG ANSWER TO THAT QUESTION
"of course , banning political parties is generally a bad idea , although there are exceptions to that rule .",COURSE BAN DESC-POLITICAL PARTY BE DESC-GENERALLY DESC-BAD IDEA ALTHOUGH DESC-RE BE EXCEPTION TO THAT RULE,COURSE BAN DESC-POLITICAL PARTY BE DESC-GENERALLY DESC-BAD IDEA WHILE DESC-RE BE EXCEPTION TO THAT RULE
it is an industry that has had to rely on nephrops .,X-IT BE INDUSTRY THAT HAVE HAVE TO RELY ON NEPHROP,X-IT BE INDUSTRY THAT HAVE HAVE TO RELY ON NEPHAROP
heavy goods transport throughout europe is one of these factors and another is nuclear power stations .,HEAVY GOODS TRANSPORT THROUGHOUT EUROPE BE ONE SE FACTOR AND ANOR BE DESC-NUCLEAR POWER STATION,DESC-HEAVY GOODS TRANSPORT THROUGHOUT EUROPE BE ONE SE FACTOR AND ANOR BE DESC-NUCLEAR POWER STATION
the eu and tony blair deserve each other .,EU AND DESC-TONY BLAIR DESERVE EACH DESC-OR,EU AND TONY BLAIR DESERVE EACH DESC-OR
i therefore call on the commission to adopt an authoritative position so as to safeguard european quality production .,X-I DESC-REFORE CALL ON COMMISSION TO ADOPT DESC-AUTHORITATIVE POSITION DESC-SO AS TO SAFEGUARD EUROPEAN QUALITY PRODUCTION,X-I DESC-REFORE CALL ON COMMISSION TO ADOPT DESC-AUTHORITY POSITION DESC-SO AS TO SAFEGUARD EUROPEAN QUALITY PRODUCTION
the european union should use a balanced strategy to resist an undesired political scenario of this kind in minsk .,EUROPEAN UNION SHOULD USE DESC-BALANCED STRATEGY TO RESIST DESC-UNDESIRED DESC-POLITICAL SCENARIO THIS KIND IN MINSK,EUROPEAN UNION SHOULD USE DESC-BALANCED STRATEGY TO RESIST DESC-UNDERSIRED DESC-POLITICAL SCENARIO THIS KIND IN MINSK
and those principles will be my guidance in my assessment in the opel case .,AND THOSE PRINCIPLE WILL BE X-MY GUIDANCE IN X-MY ASSESSMENT IN OPEL CASE,AND THOSE PRINCIPLE WILL BE X-MY GUIDELINE IN X-MY ASSESSMENT IN OPEL CASE
i am of course referring to the visit of václav klaus .,CLAV KLAUS COURSE REFER TO VISIT V,CLAS KLAUS REFER TO VISIT V
"fortunately , after the positive votes , he is merely making himself look very silly .",DESC-FORTUNATELY AFTER DESC-POSITIVE VOTE X-HE BE DESC-MERELY MAKE X-HIMSELF LOOK DESC-VERY SILLY,DESC-FORTUNATELY AFTER DESC-POSITIVE VOTE X-HE BE DESC-MERELY MAKE X-MSELVES LOOK DESC-VERY DESC-SILLY
this must be balanced with environmental and social conditions .,THIS MUST BE BALANCE WITH DESC-ENVIRONMENTAL AND DESC-SOCIAL CONDITION,THIS MUST BE DESC-BALANCED WITH DESC-ENVIRONMENTAL AND DESC-SOCIAL CONDITION
mrs mcguinness has the floor first .,MR MCGUINNESS HAVE FLOOR DESC-FIRST,MR MCGINNESS HAVE FLOOR DESC-FIRST
it is obvious that state aid must be used prudently to avoid creating problems with competition .,X-IT BE DESC-OBVIOUS THAT STATE AID MUST BE USE DESC-PRUDENTLY TO AVOID CREATE PROBLEM WITH COMPETITION,X-IT BE DESC-OBVIOUS THAT STATE AID MUST BE USE DESC-PRIVATELY TO AVOID CREATE PROBLEM WITH COMPETITION
the money must be invested in enterprises which guarantee that graduates will find employment .,MONEY MUST BE INVEST IN ENTERPRISE WHICH GUARANTEE THAT GRADUATE WILL FIND EMPLOYMENT,MONEY MUST BE INVEST IN ENTERPRISE WHICH GUARANTEE THAT RECOGNITION WILL FIND EMPLOYMENT
"the house will know that 84 000 flights have been cancelled , affecting thousands of passengers .",HOUSE WILL KNOW THAT 84 000 FLIGHT HAVE BE CANCEL AFFECT THOUSAND PASSENGER,HOUSE WILL KNOW THAT 84 000 FLY HAVE BE CANCEL AFFECT THOUSAND PASSENGER
the vertical divisions in society and the domination of tribal loyalties over personal judgment would make that impossible .,DESC-VERTICAL DIVISION IN SOCIETY AND DOMINATION TRIBAL LOYALTY OVER DESC-PERSONAL JUDGMENT WOULD MAKE THAT DESC-IMPOSSIBLE,DESC-VERTICAL DIVISION IN SOCIETY AND DOMINATION DESC-TRIBAL LEGALTY OVER DESC-PERSONAL JUDGMENT WOULD MAKE THAT DESC-IMPOSSIBLE
the standards which are found there are far different from those to which we are accustomed in europe .,STANDARD WHICH BE FIND DESC-RE BE DESC-FAR DESC-DIFFERENT FROM THOSE TO WHICH X-WE BE ACCUSTOM IN EUROPE,STANDARD WHICH BE FIND DESC-RE BE DESC-FAR DESC-DIFFERENT FROM THOSE TO WHICH X-WE BE DESC-ADAPTATE IN EUROPE
"there is a need for privacy , since privacy is a political asset .",DESC-RE BE NEED FOR PRIVACY SINCE PRIVACY BE DESC-POLITICAL ASSET,DESC-RE BE NEED FOR PRIVACY SINCE PRIVACY BE DESC-POLITICAL ADVANTAGE
the eu does not even have control over the recovery of funds which have been paid out mistakenly .,EU DO DESC-NOT DESC-EVEN HAVE CONTROL OVER RECOVERY FUND WHICH HAVE BE PAY OUT DESC-MISTAKENLY,EU DO DESC-NOT DESC-EVEN HAVE CONTROL OVER RECOVERY FUND WHICH HAVE BE PAY OUT DESC-MISCONFIDENTLY
"in my opinion , the oral question that prompted this debate still relies rather too heavily on market forces .",IN X-MY OPINION DESC-ORAL QUESTION THAT DESC-PROMPT THIS DEBATE DESC-STILL RELY DESC-RAR DESC-TOO DESC-HEAVILY ON MARKET FORCE,IN X-MY OPINION DESC-ORAL QUESTION THAT SUGGEST THIS DEBATE DESC-STILL RELY DESC-RAR DESC-TOO DESC-HEAVY ON MARKET FORCE
we will have to raise an estimated figure of some eur 8 billion for the 3 300 kilometre pipeline .,X-WE WILL HAVE TO RAISE ESTIMATE FIGURE SOME EUR 8 BILLION FOR 3 300 KILOMETRE PIPELINE,X-WE WILL HAVE TO RAISE ESTIMATE FIGURE SOME EUR 8 BILLION FOR 3 300 KILOMETRY PIPELINE
this is incomprehensible !,THIS BE INCOMPREHENSIBLE,THIS BE DESC-INCOMPREHENSIBLE
"madam president , thered shirtdemonstrations have been suppressed with bloodshed .",MADAM PRESIDENT RED SHIRTDEMONSTRATION HAVE BE SUPPRESS WITH BLOODSHED,MADAM PRESIDENT DESC-RED ShirtDEMONSTRATION HAVE BE SUSPEND WITH BLOODSHED
we have seen it in all countries all over the globe .,X-WE HAVE SEE X-IT IN ALL COUNTRY ALL OVER GLOBE,X-WE HAVE SEE X-IT IN ALL COUNTRY ALL OVER GLOBAL
it is an indisputable fact that the opt out is used today by 15 of the 27 eu member states .,X-IT BE DESC-INDISPUTABLE FACT THAT OPT OUT BE USE TODAY BY 15 27 EU MEMBER STATE,X-IT BE DESC-INDEPUTABLE FACT THAT OPTION OUT BE USE TODAY BY 15 27 EU MEMBER STATE
"i will never forget the mothers , the daughters , the families that i met over that period .",X-I WILL DESC-NEVER FORGET MOR DAUGHTER FAMILY THAT X-I MEET OVER THAT PERIOD,X-I WILL DESC-NEVER FORGET MOR TEETH FAMILY THAT X-I MEET OVER THAT PERIOD
it would be a laughing matter if it were not so serious .,X-IT WOULD BE LAUGH MATTER IF X-IT BE DESC-NOT DESC-SO DESC-SERIOUS,X-IT WOULD BE LAUGHTER MATTER IF X-IT BE DESC-NOT DESC-SO DESC-SERIOUS
"mr president , when i was still a young boy , my country was invaded by the soviets .",MR PRESIDENT WHEN X-I BE DESC-STILL DESC-YOUNG BOY X-MY COUNTRY BE INVADE BY DESC-SOVIET,MR PRESIDENT WHEN X-I BE DESC-STILL DESC-YOUNG BOY X-MY COUNTRY BE INTERRUPT BY DESC-SOVIET
neighbouring countries ?,NEIGHBOURING COUNTRY,DESC-NEIGHBOURING COUNTRY
"on a personal level , i have , for 36 years of my career , defended privacy rights .",ON DESC-PERSONAL LEVEL X-I HAVE FOR 36 YEAR X-MY CAREER DEFEND PRIVACY RIGHTS,ON DESC-PERSONAL LEVEL X-I HAVE FOR 36 YEAR X-MY CARRIETY DEFEND PRIVACY RIGHTS
why should someone not be allowed to earn overtime if that is what they choose to do ?,WHY SHOULD SOMEONE DESC-NOT BE ALLOW TO EARN DESC-OVERTIME IF THAT BE WHAT X-Y CHOOSE TO DO,WHY SHOULD SOMEONE DESC-NOT BE ALLOW TO EARN OVERTIME IF THAT BE WHAT X-Y CHOOSE TO DO
"economically , they are progressing .",DESC-ECONOMICALLY X-Y BE PROGRESS,DESC-ECONOMICLY X-Y BE PROGRESS
the european court of human rights is already overstretched enough .,EUROPEAN COURT DESC-HUMAN RIGHTS BE DESC-ALREADY DESC-OVERSTRETCHED DESC-ENOUGH,EUROPEAN COURT DESC-HUMAN RIGHTS BE DESC-ALREADY OVERSTREET DESC-ENOUGH
why did we make desperate efforts to find a positive opening message for bosnia ?,WHY DO X-WE MAKE DESC-DESPERATE EFFORT TO FIND DESC-POSITIVE OPEN MESSAGE FOR BOSNIUM,WHY DO X-WE MAKE DESC-DESPERATE EFFORT TO FIND DESC-POSITIVE DESC-OPEN MESSAGE FOR BOSNIUM
